Event.Date,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Amateur.Built,Weather.Condition,Location,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Risk_Score,Make_Model
2010-02-17,Substantial,airplane,CESSNA,310R,2,Reciprocating,No,IMC,"Palo Alto, CA",Personal,3,0,0,0,9,CESSNA 310R
2010-02-17,Substantial,airplane,FOUGA,CM 170 MAGISTER,2,Turbo Jet,No,VMC,"Imperial, CA",Personal,0,0,0,1,0,FOUGA CM 170 MAGISTER
2010-02-17,Substantial,airplane,CESSNA,208B,1,Turbo Prop,No,VMC,"Kwigillingok, AK",,0,0,0,8,0,CESSNA 208B
2010-02-18,Substantial,airplane,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B,1,Reciprocating,No,VMC,"Colfax, WA",Aerial Application,0,0,0,1,0,GRUMMAN ACFT ENG COR-SCHWEIZER G-164B
2010-02-18,Substantial,airplane,CESSNA,210L,1,Reciprocating,No,VMC,"Aurora, OR",Personal,0,0,0,6,0,CESSNA 210L
2010-02-18,Substantial,airplane,CESSNA,P210N,1,Reciprocating,No,VMC,"Carthage, NC",Personal,0,1,0,0,2,CESSNA P210N
2010-02-18,Substantial,airplane,CESSNA,172RG,1,Reciprocating,No,VMC,"Albany, OH",Personal,0,1,0,0,2,CESSNA 172RG
2010-02-19,Substantial,airplane,CESSNA,208B,1,Turbo Prop,No,VMC,"Sacramento, CA",,0,0,0,1,0,CESSNA 208B
2010-02-20,Substantial,airplane,PIPER,PA-32R-301T,1,Reciprocating,No,IMC,"Groveland, CA",Personal,2,0,0,0,6,PIPER PA-32R-301T
2010-02-20,Substantial,airplane,NORTH AMERICAN,AT-6C,1,Reciprocating,No,VMC,"Mesa, AZ",Personal,0,0,0,1,0,NORTH AMERICAN AT-6C
2010-02-21,Minor,airplane,PIPER,PA-46-310P,1,Reciprocating,No,VMC,"Nashville, TN",Personal,0,0,0,4,0,PIPER PA-46-310P
2010-02-21,Substantial,airplane,CESSNA,172RG,1,Reciprocating,No,VMC,"Lockhart, TX",Instructional,0,0,0,2,0,CESSNA 172RG
2010-02-21,Substantial,airplane,COTTER,STITS PLAYMATE,1,Reciprocating,Yes,VMC,"Williston, FL",Personal,0,1,1,0,3,COTTER STITS PLAYMATE
2010-02-22,Substantial,airplane,CESSNA,172,1,Reciprocating,No,VMC,"Sparks, NV",Other Work Use,0,0,0,4,0,CESSNA 172
2010-02-22,Substantial,airplane,TERRELL CARAGOL,RV-7,1,Reciprocating,Yes,VMC,"Oregon City, OR",Personal,0,0,0,1,0,TERRELL CARAGOL RV-7
2010-02-22,Substantial,airplane,CESSNA,180B,1,Reciprocating,No,VMC,"Kodiak, AK",Personal,0,0,0,1,0,CESSNA 180B
2010-02-22,Destroyed,airplane,PIPER,PA 46-350P,1,Reciprocating,No,IMC,"Belleville, IL",Personal,2,0,0,0,6,PIPER PA 46-350P
2010-02-23,Substantial,airplane,SCHWEIZER AIRCRAFT CORP,G164B,1,Reciprocating,No,VMC,"Byron, CA",Aerial Application,0,0,0,1,0,SCHWEIZER AIRCRAFT CORP G164B
2010-02-23,Substantial,airplane,PIPER,PA-28-180,1,Reciprocating,No,IMC,"Springfield, KY",Personal,1,0,0,0,3,PIPER PA-28-180
2010-02-23,Substantial,airplane,DIAMOND AIRCRAFT IND INC,DA 20-C1,1,Reciprocating,No,VMC,"Delta, UT",Instructional,0,0,0,1,0,DIAMOND AIRCRAFT IND INC DA 20-C1
2010-02-23,Substantial,airplane,CESSNA,172P,1,Reciprocating,No,VMC,"Fort Pierce, FL",Instructional,0,0,0,1,0,CESSNA 172P
2010-02-23,Substantial,airplane,AMERICAN CHAMPION,7KCAB,1,Reciprocating,No,VMC,"Greeley, CO",Personal,0,0,0,1,0,AMERICAN CHAMPION 7KCAB
2010-02-24,Minor,airplane,HAWKER BEECHCRAFT CORP.,65-B80,2,Reciprocating,No,VMC,"Minneapolis, MN",,0,0,0,2,0,HAWKER BEECHCRAFT CORP. 65-B80
2010-02-24,Substantial,airplane,PIPER,PA-28-180,1,Reciprocating,No,VMC,"Patillas, PR",Instructional,0,1,0,1,2,PIPER PA-28-180
2010-02-24,Substantial,airplane,BOMBARDIER INC,BD-100-1A10,2,Turbo Fan,No,VMC,"Wheeling, IL",,0,0,0,2,0,BOMBARDIER INC BD-100-1A10
2010-02-25,Substantial,airplane,BEECH,C23,1,Reciprocating,No,VMC,"Winter Haven, FL",Personal,2,0,0,0,6,BEECH C23
2010-02-26,Substantial,airplane,KELLER,FK1 STOL,1,Reciprocating,Yes,VMC,"Dixie, ID",Personal,0,0,0,3,0,KELLER FK1 STOL
2010-02-27,Substantial,airplane,BEECH,P35,1,Reciprocating,No,VMC,"Edgewater, MD",Personal,1,0,0,0,3,BEECH P35
2010-02-27,Destroyed,airplane,PIPER,PA-28-140,1,Reciprocating,No,VMC,"Gatesville, TX",Personal,1,0,0,0,3,PIPER PA-28-140
2010-02-27,Substantial,airplane,GRUMMAN AMERICAN,AA-5,1,Reciprocating,No,VMC,"Maple Lake, MN",Instructional,0,0,0,2,0,GRUMMAN AMERICAN AA-5
2010-02-27,Substantial,airplane,CESSNA,340A,2,Reciprocating,No,VMC,"Grove City, PA",Personal,0,3,0,0,6,CESSNA 340A
2010-02-28,Substantial,airplane,SCHAFER,STARDUSTER SA-300,1,Reciprocating,Yes,VMC,"North Bend, OR",Personal,0,1,0,0,2,SCHAFER STARDUSTER SA-300
2010-02-28,Destroyed,airplane,BEECH,C24R,1,Reciprocating,No,VMC,"Bristow, OK",Personal,2,0,0,0,6,BEECH C24R
2010-02-28,Substantial,airplane,CESSNA,172,1,Reciprocating,No,VMC,"Davis, OK",Instructional,0,0,0,2,0,CESSNA 172
2010-03-01,Substantial,airplane,LACOUR,LONG-EZE SR7-1,1,Reciprocating,Yes,VMC,"Falfurrias, TX",Personal,0,0,0,2,0,LACOUR LONG-EZE SR7-1
2010-03-01,Substantial,airplane,CESSNA,525,1,Turbo Fan,No,VMC,"Stuttgart, Germany",Positioning,0,0,0,1,0,CESSNA 525
2010-03-01,Substantial,airplane,SOCATA,TBM 700,1,Turbo Prop,No,VMC,"Gaithersburg, MD",Positioning,0,0,0,1,0,SOCATA TBM 700
2010-03-01,Substantial,airplane,PIAGGIO,P180,2,Turbo Prop,No,VMC,"Greensboro, NC",Positioning,0,0,0,1,0,PIAGGIO P180
2010-03-01,Substantial,airplane,CESSNA,172P,1,Reciprocating,No,VMC,"Ft. Pierce, FL",Instructional,0,0,0,2,0,CESSNA 172P
2010-03-02,Substantial,airplane,BEECH,65-A90,2,Turbo Prop,No,VMC,"DeKalb, IL",Flight Test,0,0,0,2,0,BEECH 65-A90
2010-03-02,Substantial,airplane,SCHULKE,AVID MAGNUM,1,Reciprocating,Yes,VMC,"Lowell, MI",Personal,0,0,0,1,0,SCHULKE AVID MAGNUM
2010-03-03,Substantial,airplane,MONROIG PEDRO J,RANS S-6S,1,Reciprocating,Yes,VMC,"Mayaguez, PR",Personal,1,0,0,0,3,MONROIG PEDRO J RANS S-6S
2010-03-03,Substantial,airplane,CESSNA,P210N,1,Reciprocating,No,VMC,"Arcadia, FL",Personal,0,1,1,0,3,CESSNA P210N
2010-03-04,Substantial,airplane,CESSNA,T303,2,Reciprocating,No,VMC,"Louisa, VA",Personal,1,0,0,0,3,CESSNA T303
2010-03-04,Substantial,airplane,MUFFETT,QUICKSLVR SPRNT II,1,Reciprocating,Yes,VMC,"Buena, WA",Personal,0,0,1,0,1,MUFFETT QUICKSLVR SPRNT II
2010-03-04,Substantial,airplane,CESSNA,152,1,Reciprocating,No,VMC,"Hearne, TX",Personal,0,0,0,1,0,CESSNA 152
2010-03-05,Substantial,airplane,PIPER,PA-34-200T,2,Reciprocating,No,VMC,"Vero Beach, FL",Instructional,0,0,2,0,2,PIPER PA-34-200T
2010-03-05,Substantial,airplane,LUSCOMBE,8A,1,Reciprocating,No,VMC,"Savannah, GA",Personal,1,0,0,0,3,LUSCOMBE 8A
2010-03-05,Substantial,airplane,TARANTOLA LEONARD,RV-6A,1,Reciprocating,Yes,VMC,"Onalaska, WA",Personal,0,0,0,1,0,TARANTOLA LEONARD RV-6A
2010-03-05,Substantial,airplane,BEECH,A36,1,Reciprocating,No,VMC,"Slaton, TX",Personal,0,1,0,0,2,BEECH A36
2010-03-05,Substantial,airplane,CESSNA,172,1,Reciprocating,No,VMC,"Poughkeepsie, NY",Personal,0,0,0,1,0,CESSNA 172
2010-03-05,Substantial,airplane,CESSNA,172R,1,Reciprocating,No,VMC,"Newark, OH",Instructional,0,1,0,0,2,CESSNA 172R
2010-03-05,Substantial,airplane,EVEKTOR-AEROTECHNIK AS,SPORTSTAR PLUS,1,Reciprocating,No,IMC,"Marysville, OH",Unknown,2,0,0,0,6,EVEKTOR-AEROTECHNIK AS SPORTSTAR PLUS
2010-03-05,Substantial,airplane,CESSNA,U206G,1,Reciprocating,No,VMC,"Nanwalek, AK",,0,0,0,2,0,CESSNA U206G
2010-03-06,Destroyed,airplane,NORTH AMERICAN,T6,1,Reciprocating,No,VMC,"Santa Rosa Beach, FL",Personal,2,0,0,0,6,NORTH AMERICAN T6
2010-03-06,Substantial,airplane,CESSNA,P210N,1,Reciprocating,No,VMC,"Miami, FL",Business,0,0,0,1,0,CESSNA P210N
2010-03-06,Substantial,airplane,HAWKER BEECHCRAFT CORP.,A36,1,Reciprocating,No,VMC,"Milwaukee, WI",Personal,0,0,0,1,0,HAWKER BEECHCRAFT CORP. A36
2010-03-06,Substantial,airplane,BELCHER WILLIAM B II,FIRESTAR,1,Reciprocating,No,VMC,"Wetumpka, AL",Personal,0,1,0,0,2,BELCHER WILLIAM B II FIRESTAR
2010-03-06,Substantial,airplane,PIPER,PA-28-140,1,Reciprocating,No,VMC,"Martinsville, IN",Personal,0,0,0,4,0,PIPER PA-28-140
2010-03-06,Substantial,airplane,DIAMOND AIRCRAFT IND INC,DA 20-C1,1,Reciprocating,No,VMC,"Mount Sterling, KY",Instructional,0,0,0,1,0,DIAMOND AIRCRAFT IND INC DA 20-C1
2010-03-07,Substantial,airplane,CESSNA,172P,1,Reciprocating,No,VMC,"Camarillo Airport, CA",Personal,0,0,0,1,0,CESSNA 172P
2010-03-07,Substantial,airplane,AVIAT AIRCRAFT INC,A-1C-200,1,Reciprocating,No,VMC,"St. Johns, AZ",Personal,0,0,0,2,0,AVIAT AIRCRAFT INC A-1C-200
2010-03-07,Substantial,airplane,SUTTON,AVID HAULER,1,Reciprocating,Yes,VMC,"Rigby, ID",Personal,0,0,0,1,0,SUTTON AVID HAULER
2010-03-07,Substantial,airplane,AERONCA,7AC,1,Reciprocating,No,VMC,"Roanoke Rapids, NC",Personal,0,0,0,2,0,AERONCA 7AC
2010-03-07,Substantial,airplane,CESSNA,150H,1,Reciprocating,No,VMC,"New Bedford, MA",Personal,0,0,0,2,0,CESSNA 150H
2010-03-07,Destroyed,airplane,PIPER,PA32,1,Reciprocating,No,IMC,"Chambery, France",Personal,1,0,0,0,3,PIPER PA32
2010-03-07,Substantial,airplane,COSTRUZIONI AERONAUTICHE TECNA,P92 ECHO SUPER,1,Reciprocating,No,VMC,"Baytown, TX",Instructional,0,0,0,2,0,COSTRUZIONI AERONAUTICHE TECNA P92 ECHO SUPER
2010-03-08,Substantial,airplane,BYLER,JDT MINI-MAX 1100R,1,Reciprocating,Yes,VMC,"New Paris, IN",Personal,0,0,0,1,0,BYLER JDT MINI-MAX 1100R
2010-03-09,Substantial,airplane,EAGLE,150B,1,Reciprocating,No,VMC,"Kota Bahru, Malaysia",Instructional,0,0,2,0,2,EAGLE 150B
2010-03-10,Minor,airplane,GULFSTREAM AMERICAN CORP.,G-1159A,2,Turbo Jet,No,VMC,"Farmingdale, NY",,0,0,0,5,0,GULFSTREAM AMERICAN CORP. G-1159A
2010-03-10,Substantial,airplane,STUMP,DAVIS,1,Reciprocating,Yes,VMC,"Seguin, TX",Personal,0,0,1,0,1,STUMP DAVIS
2010-03-10,Destroyed,airplane,CESSNA,421,2,Reciprocating,No,VMC,"Tegucigalpa, Honduras",Business,3,0,0,0,9,CESSNA 421
2010-03-10,Substantial,airplane,CESSNA,A185E,1,Reciprocating,No,VMC,"Ophir, AK",Personal,0,0,0,3,0,CESSNA A185E
2010-03-10,Substantial,airplane,CESSNA,172S,1,Reciprocating,No,VMC,"Lawrence, KS",Personal,0,0,0,1,0,CESSNA 172S
2010-03-11,Substantial,airplane,NORTH AMERICAN,P51D,1,Reciprocating,No,VMC,"Chandler, AZ",Personal,1,0,0,0,3,NORTH AMERICAN P51D
2010-03-11,Substantial,airplane,BEECH,A35,1,Reciprocating,No,VMC,"Marfa, TX",Personal,0,0,0,1,0,BEECH A35
2010-03-13,Substantial,airplane,PIPER,PA-28-161,1,Reciprocating,No,VMC,"El Cajon, CA",Instructional,0,0,0,2,0,PIPER PA-28-161
2010-03-13,Substantial,airplane,BEECH,K35,1,Reciprocating,No,VMC,"Boulder City, NV",Personal,1,0,0,0,3,BEECH K35
2010-03-13,Minor,airplane,EMBRAER,EMB-145LR,2,Turbo Fan,No,VMC,"Chicago, IL",,0,0,0,45,0,EMBRAER EMB-145LR
2010-03-13,Substantial,airplane,PIPER,PA-22-160,1,Reciprocating,No,VMC,"Aniak, AK",Personal,0,2,0,0,4,PIPER PA-22-160
2010-03-13,Substantial,airplane,CESSNA,182P,1,Reciprocating,No,VMC,"Long Beach, CA",Instructional,0,0,0,1,0,CESSNA 182P
2010-03-13,Substantial,airplane,ULTRALIGHT AMERICA,SPITFIRE II MODELCTV,1,Reciprocating,No,VMC,"Cameron, TX",Personal,0,0,0,1,0,ULTRALIGHT AMERICA SPITFIRE II MODELCTV
2010-03-13,Substantial,airplane,FREDERICKSON CHARLES A,PITTS S-2E,1,Reciprocating,Yes,VMC,"Okeechobee, FL",Personal,0,0,0,1,0,FREDERICKSON CHARLES A PITTS S-2E
